sp,CollectionCode,Subsample,SpecimenCode,CL,PoOC,PrAC,ClyL,CWB,Cweye,FR,TCD,GPD,SL,MW,PEW,MPD,ML,MPH,NOH,HTL,EL,OMD
batesii,BLF10531,,CASENT0050416,1.97,0.52,1.04,0.61,1.72,1.61,0.52,0.4,0.81,2.76,1.14,0.38,2.12,3.32,1.07,0.21,3.25,0.44,0.87
batesii,BLF10531,,CASENT0179425,2.11,0.53,1.12,0.68,1.76,1.73,0.53,0.42,0.86,2.85,1.29,0.44,2.06,3.37,1.14,0.22,3.26,0.44,0.92
batesii,BLF19386,,CASENT0133995,2.01,0.53,1.06,0.6,1.7,1.67,0.53,0.4,0.84,2.82,1.29,0.46,2.11,3.48,1.1,0.22,3.32,0.44,0.96
batesii,BLF19386,,CASENT0827980,2.17,0.58,1.16,0.65,1.88,1.84,0.6,0.44,0.85,2.88,1.41,0.57,2.37,3.68,1.18,0.22,3.49,0.46,0.92
batesii,BLF28391,,CASENT0275788,2.16,0.56,1.09,0.69,1.8,1.74,0.56,0.43,0.85,2.88,1.31,0.5,2.34,3.66,1.14,0.25,3.37,0.46,0.96
batesii,BLF28429,,CASENT0274247,2.21,0.62,1.17,0.7,1.92,1.81,0.59,0.42,0.9,2.94,1.39,0.48,2.31,3.84,1.18,0.22,3.5,0.48,1.02
batesii,BLF29918,,CASENT0300307,2.06,0.52,1.08,0.64,1.82,1.76,0.56,0.43,0.85,2.78,1.32,0.46,2.37,3.54,1.16,0.21,3.34,0.46,0.96
batesii,BLF30119,,CASENT0300810,2.28,0.68,1.25,0.73,1.92,1.86,0.6,0.44,0.92,2.97,1.42,0.56,2.34,3.73,1.25,0.23,3.52,0.45,0.94
batesii,BLF30125,,CASENT0300821,2.18,0.6,1.16,0.72,1.85,1.77,0.57,0.41,0.86,2.92,1.36,0.5,2.32,3.72,1.22,0.25,3.41,0.45,0.95
batesii,BLF30257,,CASENT0301940,2.06,0.58,1.12,0.68,1.72,1.7,0.54,0.41,0.86,2.84,1.28,0.44,2.11,3.48,1.07,0.19,3.42,0.44,0.94
batesii,BLF30429,,CASENT0300432,2.2,0.62,1.17,0.72,1.9,1.86,0.6,0.42,0.9,2.94,1.38,0.49,2.26,3.68,1.17,0.26,3.48,0.46,0.94
butteli,ANTC10079,,CASENT0192141,2.33,0.73,1.12,0.65,1.59,1.52,0.5,0.39,0.9,3.15,1.19,0.41,2.27,3.68,1.08,0.36,3.34,0.46,0.9
butteli,BLF09270,,CASENT0487322,2.13,0.7,1.04,0.6,1.42,1.41,0.47,0.33,0.78,2.98,1.09,0.38,2.16,3.5,1.04,0.36,3.21,0.44,0.82
butteli,BLF09280,,CASENT0487220,1.98,0.66,0.97,0.56,1.28,1.28,0.43,0.3,0.76,2.72,0.96,0.33,2.02,3.26,0.76,0.28,2.94,0.4,0.78
butteli,BLF09349,,CASENT0486979,2.3,0.8,1.07,0.67,1.54,1.5,0.48,0.39,0.88,3.13,1.22,0.42,2.17,3.62,1.01,0.32,3.33,0.44,0.93
butteli,BLF09353,,CASENT0486964,2.06,0.58,1.05,0.63,1.46,1.41,0.44,0.36,0.79,2.93,1.06,0.37,2.06,3.5,0.99,0.33,3.18,0.42,0.87
butteli,BLF09353,,CASENT0486965,2.05,0.7,0.9,0.58,1.35,1.4,0.48,0.34,0.76,2.92,1.02,0.36,2.17,3.39,0.97,0.32,3.14,0.4,0.78
butteli,BLF09366,,CASENT0487043,2.23,0.68,1.08,0.67,1.52,1.52,0.48,0.35,0.85,3.08,1.14,0.4,2.1,3.62,1.06,0.36,3.32,0.46,0.91
butteli,BLF09368,,CASENT0487058,2.11,0.65,1.01,0.64,1.42,1.38,0.47,0.34,0.8,3.04,1.1,0.42,2.28,3.5,1.01,0.29,3.3,0.44,0.86
butteli,BLF09368,,CASENT0487059,2.03,0.66,0.93,0.63,1.36,1.38,0.45,0.32,0.76,2.96,1.05,0.38,2.08,3.36,0.95,0.28,3.14,0.44,0.82
butteli,BLF09391,,CASENT0486951,2.03,0.57,0.93,0.61,1.34,1.36,0.44,0.32,0.72,2.81,1.01,0.36,2.05,3.29,0.93,0.32,3.19,0.4,0.82
butteli,BLF09405,,CASENT0487010,2.29,0.79,1.06,0.68,1.53,1.52,0.48,0.39,0.88,3.07,1.22,0.43,2.44,3.72,1.04,0.28,3.34,0.46,0.88
christi,BLF00510,,CASENT0191591,1.33,0.36,0.66,0.37,0.99,0.97,0.37,0.25,0.58,1.82,0.9,0.3,1.47,2.14,0.79,0.24,1.62,0.31,0.6
